Sentence,"buhay - [1: 'buháy', 0: 'búhay']"
Nakita ko kung paano mo isinalba ang buhay ni Tom.,0
Nawala na ang mahiya sa buhay ninyo.,0
Hindi matuwid ang buhay.,0
Kumain ka ng buhay na palaka tuwing umaga at wala nang mas malalang mangyayari sa iyo sa buong araw.,1
"Dapat maging sensitibo ka na ang sinasabi ng iba-ibang tao ay ""prodyeksiyon"" lamang ng anumang nangyayari sa sarili nilang buhay.",0
Nasa panganib ang kanyang buhay.,0
May walong buhay pang natitira ang pusa natin.,0
"Sa tingin ninyo, buhay pa kaya si Tom?",1
Nanganganib ang buhay ng pasyenteng ito.,0
Pagod na ako sa buhay na ito.,0
Aanhin mo ang yaman mo kung mag-isa ka lang sa buhay?,0
Hindi niya gusto ang buhay sa lungsod na ito.,0
Wala pa akong nakikitang katulad nito sa buong buhay ko.,0
Magkarelasyon din sila sa totoong buhay.,0
Ang buhay ay isang malaking sirko.,0
Tumutuloy ang buhay.,0
Hindi pa siya kinikilabutan sa buong buhay niya.,0
Sumakabilang-buhay ang kanyang mga magulang.,0
Maganda ang buhay.,0
Hindi pa ako nakakakita ng buhay na balyena.,0
Bakit buhay pa tayo?,1
Totoo bang siyam ang buhay ng pusa?,0
Saan ba ako makakakuha ng buhay na tigre?,0
Akala nila'y mas masarap ang buhay sa Hilagang Amerika.,0
Nagpapasalamat akong buhay pa ako.,1
Pinasalamatan ako ni Tom sa pagbabagong buhay niya.,0
Nawalan siya ng buhay sa aksidente ng kotse.,0
Hindi niya gusto ang buhay sa siyudad na ito.,0
"Sa puntong ito ng buhay ko, nakita ko na ang lahat.",0
Binawian siya ng buhay pagkatapos nang mahabang pagkakasakit.,0
Wala pa akong nakikitang kapareho niyan sa buong buhay ko.,0
Itinaya ko ang buhay ko para rito.,0
Dapat hulihin nang buhay ang hayop.,1
Hindi malutas ng agham ang lahat ng problema sa buhay.,0
Akala mo'y maikli ang buhay mo dahil parang Amerikano ka.,0
Idisenyo ang iyong buhay upang sulitin ang pamumuhay.,0
Itinaya niya ang kanyang buhay para magampanan ang kanyang tungkulin at nagbigay siya ng inspirasyon sa mga opisyal ng pulisya saanman.,0
Huwag mong ihugis ang buhay mo sa paghihintay ng malaking gera.,0
Ang kalikasan ng buhay ay paikut-ikot.,0
Maiksi lang ang buhay.,0
Naaapektuhan ng imahinasyon ang lahat ng aspekto ng ating mga buhay.,0
Inisip ni Marcel na mas masaya ang magiging buhay niya kung bakla siya.,0
Sinasabi mo bang nasa panganib ang buhay ko?,0
Isa ang edukasyon sa mga pinakamahahalagang aspekto ng buhay.,0
Ang daya ng buhay.,0
Naiinggit si Melissa sa buhay ni Ariel.,0
"Walang tubig, walang buhay.",0
Alam kong maiksi lang ang buhay.,0
Nakita ko kung paano mo sinagip ang buhay ni Tom.,0
Ito ang pinakanakakahiyang bagay na nangyari sa buhay ko.,0
Ika-14 ng Hulyo ng 2017 ngayon. Ang karamihan ng mga daigdig sa sansinukob ay mga disyerto lamang. Baka walang buhay. Napakainit. Napakalamig. Lason ang hangin.,0
May sampung segundo na ang natitira sa buhay mo.,0
"Dahil sa virus na iyon, marami pong elepante ang nawalan ng buhay.",0
Nasa ibang kabanata na ang buhay ni Benny.,0
Isip nila'y walang kuwenta na ang buhay nila.,0
Nakasalalay ang buhay niya sa desisiyon ng huwes.,0
Iniisip ko ang kabuluhan ng buhay.,0
Nawala na ang madyik sa buhay ninyo.,0
"Pangmatagalan ang sining, pero maikli lang ang buhay.",0
Ang pagpapakasal ay isang mahalagang pangyayari sa buhay.,0
Ano ang kabuluhan ng buhay?,0
Wala pa akong nakikitang katulad niyon sa buong buhay ko.,0
Ang lahat ay buhay.,1
Maraming sekreto ang buhay.,0
Sa pulong iyo'y walang buhay.,0
Alam kong maiksi ang buhay.,0
"Sa unang pagkakataon sa kanyang buhay, natapos basahin ni Yuka ang buong libro sa Ingles.",0
Ang pagpapakasal ay isa pong importanteng kaganapan sa buhay.,0
"Mahirap ang buhay, mura ang kamatayan.",0
Nawalan na ng kabuluhan ang buhay.,0
"Sa ikalimang araw, ang bibe ay buhay pa rin.",1
Hindi patas ang buhay.,0
Talagang mas gusto ko ang buhay sa bukid.,0
"Kung saan may buhay, may pag-asa.",0
Wala nang kabuluhan ang buhay.,0
Naghihintay na lamang sila ng malaking katastrope dahil nabuwibuwisit na sila sa buhay nila.,0
Ang sikreto sa mahabang buhay ay: piliin mong maigi kung sino ang mga magulang mo.,0
Ikinuwento sa akin ng lola ko ang buong buhay niya.,0
Hindi pa ako nakakakuha ng uno sa buong buhay ko.,0
Meron pa sa buhay imbes na pinabibilisan siya.,0
"Pakiramdam ko, buhay ako.",1
"Mahilig ako sa kosmolohiya, magbiyahe, pagkain, kalikasan, anime, wikang guni-guni, at siyensiyang piksiyon. Bahaghari ang naging buhay ko.",0
Sobrang nahirapan siyang masanay sa buhay sa bagong eskuwelahan.,0
Natagpuan namin siyang buhay.,1
Walang mas importante sa buhay kundi ang kalusugan.,0
"Ika-14 ng Hulyo ng 2017 ngayon. Sa ibang mga daigdig sa sansinukob, puno talaga nang yelu-yelo. May tubig. Baka may mababang buhay. Baka walang malalaking hayop. Maliliit lamang.",0
Nagpasalamat sa akin si Tom para sa pagbabagong buhay niya.,0
Hindi pa siya nakakakita ng bibe sa buong buhay niya.,0
Marami na akong nakitang mga di-pangkaraniwang bagay sa buhay ko.,0
"Sa kagitlaan ko, buhay siya.",1
Sobra akong naaakit sa buhay probinsiya.,0
Napakatahimik ng buhay sa probinsya kumpara sa buhay sa siyudad.,0
"Kapag iniiwan tayo ng mga kaibigan sa tunay na buhay, palaging handa ang mga librong magbigay ng pakikipagkaibigan, ng pagmamalasakit at ng motibasyon.",0
Ano ang kahulugan ng buhay?,0
Alam mo ba ang sikreto ng mahabang buhay?,0
Isa ang edukasyon sa mga pinakaesensiyal na aspekto ng buhay.,0
Ang tubig ay buhay.,1
Mamahalin niya siya habang buhay.,0
Iyon ang pinakamalaking pagkakamali sa buhay ko.,0
Maiksi ang buhay.,0
Hindi bababa sa animnapung katao ang nawalan ng buhay.,0
Ang ating tunay na pag-asa ay may buhay sa mga ibang mundo.,0
"Hindi kami nag-aaral para sa buhay, kundi para sa eskuwela.",0
Nasa panganib ang buhay ng pasyenteng ito.,0
Bakit ang buhay ay puno ng pasakit?,0
Iginigiit ng maraming siyentipiko na hindi lang basta-bastang sumulpot ang buhay sa daigdig.,0
"Sumakabilang-buhay si Dmitri Mendeleev noong ikalawa ng Pebrero, taong 1907.",0
May hayop na ampibyo at may dalawang anyo ang buhay.,0
Maganda ang buhay noong panahon ng batas militar sa bansa.,0
Pinakamagandang araw ito ng buhay ko.,0
Nakasalalay ang buhay niya sa desisiyon ng hukom.,0
Nasa panganib ang buhay mo.,0
"May matematikang probabilidad na may buhay sa labas ng Tiyera, dahil ang bilang ng mga bituwin at planeta ay mahigit nang mga butil ng buhangin sa dalampasigan.",0
Talagang mapanganib ang buhay ng pasyente.,0
Ang pagpapakasal ay isang importanteng kaganapan sa buhay.,0
Nag-iba ang ating paraan sa buhay nang ipinakilala ang sibilisasyong taga-Europa.,0
Ang buhay ay masyadong maikli para pag-aralan ang Aleman.,0
Nakakasira ng buhay ang utang.,0
Mahal ang buhay sa malalaking bahay.,0
Gusto pong kontrolin ni Mark ang bawat aspekto ng buhay ni Jessica.,0
"Gumagawa si Alejandro Corrales Félix ng mabilis at mataas na enerhiya na mga bidyo sa wikang Espanyol sa Sosyal Media tungkol sa buhay sa San Pedro de la Cueva, Sonora, Mexico.",0
Ilang buhay ang nawala?,0
Iginigiit ng maraming siyentista na hindi lang basta-bastang sumulpot ang buhay sa daigdig.,0
Magkatambal din sila sa tunay na buhay.,0
"Ang buhay ay tubig, hindi bato.",0
Sumakabilang-buhay si Tom noong 2019.,0
Ang mga pusa niya ang mga pinakapangit na pusang nakita ko sa buong buhay ko.,0
Binawian ng buhay si Tom sa daan papuntang ospital.,0
Puwedeng magtulungan ang mga tao at ang mga robot para padaliin ang buhay.,0
Tinapos niya ang buhay niya nang tumalon sa tulay.,0
Ang pinakamahalaga sa buhay ay maging tapat sa sarili at maging mabuti sa iba.,0
Nailibing siya nang buhay.,1
Sinira ng sakunang iyon ang buhay ko.,0
Matututo akong magustuhan itong mapait na buhay.,0
Binigyang-diin niya ang mga pinakakombinyenteng aspekto ng buhay sa siyudad.,0
Ang lahat ng mga pangyayaring ikinukuwento ng pelikulang ito ay base sa totoong buhay.,0
Baka nga ang simula ng mga buhay sa kosmos ay mga independiyenteng abiogenesis at mga iba-ibang panspermia para kumalat ang biyolohiya.,0
Sobrang nahirapan siyang masanay sa buhay sa bagong paaralan.,0
Sabi nila'y buhay pa siya.,1
Mas mabuti ang marangal na pagkamatay kaysa sa buhay ng kahihiyan.,0
Wala pa akong nakikitang kagaya niyan sa buong buhay ko.,0
"Hinding-hindi pa ako humihingi ng tawad sa buong buhay ko. Pasensiya na, pero ganito lang talaga ako.",0
Ang pagpapakasal ay isang importanteng pangyayari sa buhay.,0
Marami na akong nakitang mga kakaibang bagay sa buhay ko.,0
Ikuwento mo sa akin ang kuwento ng buhay mo.,0
Inumpisang mabuti ng bata ang bagong buhay niya sa Barcelona.,0
Ang buhay ay isang ilusyon.,0
Hindi buwis-buhay ang mga sugat ni Tom.,0
Nagbiyahe siyang mabuti nang buong buhay niya.,0
Ang pangunahing layunin niya sa buhay ay ang maging mayaman.,0
May buhay ba sa labas na espasyo?,0
Gustong kontrolin ni Mark ang bawat aspekto ng buhay ni Jessica.,0
Ang soolohiya ay tungkol sa pag-aaral ng buhay ng hayop.,0
Sumakabilang-buhay ang mga magulang niya.,0
"May dalawang mahalagang bagay lang sa buhay. Ang una ay ang pakikipagtalik at ang pangalawa, hindi ko na maalala.",0
Namihasa kayong parang parating aburido sa buhay.,0
Hindi lahat ay nagtatagumpay sa buhay.,0
Kailangan mong atupagin ang mga bagay na makakatulong sa iyong mga anak na magkaroon sila ng magandang buhay.,0
Wala na pong kabuluhan ang buhay.,0
Habang buhay kitang iibigin.,0
Pagplanuhan mo ang kinabukasan mo dahil doon mapupunta ang mga nalalabing oras ng buhay mo.,0
Nag-iba ang aming paraan sa buhay nang ipinakilala ang sibilisasyong taga-Europa.,0
Napakahirap talaga ng buhay minsan.,0
Ang pinakaimportante sa buhay ay maging tapat sa sarili at maging mabuti sa iba.,0
Binawian ng buhay ang kanyang mga magulang.,0
Sinasabi mo bang delikado ang buhay ko?,0
Magkarelasyon din sila sa tunay na buhay.,0
Alam mo ba kung paano ang buhay natin na walang kuryente?,0
Bakit buhay pa kami?,1
"Sa tingin 'nyo , buhay pa kaya si Tom?",1
Takot sila sa mga puno dahil mas mahaba ang buhay nila at wala silang ginagawa.,0
Wala pa akong nakikitang katulad niyan sa buong buhay ko.,0
Hindi pa siya nakakakita ng Negro sa buong buhay niya.,0
Gaano ba kahaba ang buhay ng paruparo?,0
Kumain ka ng buhay na palaka tuwing umaga at wala nang mas malalang mangyayari sa iyo sa araw mo.,0
Nailibing nang buhay si Yanni.,1
Mahalaga ang buhay sa akin.,0
"Nangangarap sila na kapag presidente na ang kanilang kandidato, mariwasa na ang buhay dahil magmumudmod daw ng ginto ang presidente.",0
Iyan ang pinakamaliit na ipis na nakita ko sa buong buhay ko.,0
Binawian ng buhay ang mga magulang niya.,0
Si Tom ay masuwerte sa buong buhay niya.,0
Ganyan ang buhay!,0
"Pangmatagalan ang siyensiya, pero maikli lang ang buhay.",0
Ang buhay ay isa pong ilusyon.,0
