Sentence,"galit - [0: 'galít', 1: 'gálit']",,
Alam kong galit ka sa akin.,0,27,I know you hate me.
Ang galit ay hindi lang basta-bastang sumusulpot mula sa wala; kadalasan itong nagmumula sa inggit o sa takot.,1,110,Anger does not just come up with nothing; It often comes from envy or fear.
"Anumang galit ang mayroon ka sa akin, nanay mo pa rin ako.",1,58,"Whatever anger you have with me, you are still me."
Bakit ba kayo galit sa Amerika?,0,31,Why are you angry in America?
Bakit galit na galit ka sa akin?,0,32,Why are you so mad at me?
Bakit ka ba galit sa akin?,0,26,Why are you mad at me?
Bakit ka ba galit sa Amerika?,0,29,Why are you angry in America?
Bakit ka galit?,0,15,Why are you mad?
Bakit sila galit?,0,17,Why are they angry?
Dapat galit siya.,0,17,He should be angry.
Galit na galit ang mga republikano.,0,35,The Republicans are furious.
Galit na galit sa akin ngayon si Tom.,0,37,Tom is mad at me now.
Galit na galit sina Tom at Mary kay John.,0,41,Tom and Mary are furious with John.
"Galit na galit siya ngayon, 'no?",0,32,"He's so angry right now, no?"
Halos hindi na napipigilan ni Tom ang kanyang galit.,1,52,Tom could hardly control his anger.
Hindi ako galit sa iyo.,0,23,I am not mad at you.
Hindi ako galit sa kanya.,0,25,I'm not mad at him.
Hindi ako galit!,0,16,I'm not angry!
Hindi ako galit.,0,16,I'm not angry.
Hindi ako galit. Dismayado lang ako.,0,36,I'm not angry. I'm just disappointed.
"Hindi ako nananakit ng tao, pero naninira ako ng gamit kapag galit.",0,67,"I do not hurt people, but I do harm when I get angry."
Hindi kayang ipahayag ng mga salita ang galit na nararamdaman ko.,1,65,Words cannot express the anger I feel.
Hindi ko naiintindihan ang galit ni Tom.,1,40,I don't understand Tom's anger.
Hindi ko nakontrol ang galit ko.,1,32,I couldn't control my anger.
Hindi na ako galit.,0,19,I'm not angry anymore.
Hindi na kayang kontrolin ni Tom ang kanyang galit.,1,51,Tom could no longer control his anger.
Hindi na nakontrol ni Tom ang kanyang galit.,1,44,Tom could no longer control his anger.
Hindi na siya galit.,0,20,He is no longer angry.
