Sentence,"kaya - [0: 'kayà', 1: 'kayâ', 2: 'káya']",,
"Abstrakto siya mag-isip, kaya abstrakto rin ang mga grado niya sa paaralan.",1,,"He would think, so his grades at school were abstract."
"Akala mo kaya mong gamutin ang sarili mo, 'no?",1,,"You thought you could treat yourself, no?"
"Akala nila'y importante ang opinyon ng lahat ng tao, kaya nagpropropaganda sila.",1,,"They thought everyone's opinion was important, so they were propagating."
"Akala ninyo kaya ninyong gamutin ang sarili ninyo, 'no?",2,,"Do you think you can treat yourself, no?"
Ako ay nahuli noong umaga kaya nagalit ang aking amo.,1,,I was caught in the morning so my boss got angry.
Alam ba ni Tom na di natin kaya iyan?,1,,Did Tom know that we couldn't?
Alam ko kung ano ang kaya nila.,1,,I know what they can do.
Alam ko na kaya kong gawin iyan bukas.,2,,I know I can do that tomorrow.
"Alam kong hindi naman ganoon kagaling na tagaluto si Tom, pero anak siya ng may-ari, kaya kinailangan namin siyang kunin.",1,,"I knew Tom wasn't that good cook, but he was the owner of the owner, so we had to get him."
Alam mo bang tumira nang 10 taon sa Moscow si Julia? Kung kaya napakagaling niyang magsalita ng ruso.,1,,Did you know that Julia stayed 10 years in Moscow? So he was very good at speaking Russian.
"Alam mo kung ano ang kaya ni Tom, hindi ba?",1,,"You know what Tom can do, don't you?"
"Alam ng lahat ang gusto, pero di alam ng lahat ang kaya.",1,,"Everyone knows what to do, but everyone doesn't know what to do."
"Alam ninyo kung ano ang kaya ni Tom, hindi ba?",2,,"You know what Tom can do, don't you?"
"Alam niyo kung ano ang kaya ni Tom, hindi ba?",2,,"You know what Tom can do, don't you?"
"Ang buong daigdig ay parang kulungan, kaya kailangan ang pakalawakan.",1,,"The whole world is like a jail, so it is necessary to expire."
"Ang dami ko pong nainom na kape kanina, kaya malamang hindi ako makakatulog nang maayos mamayang gabi.",1,,"I drank a lot of coffee a while ago, so I probably won't be able to sleep well tonight."
"Ang dami kong nainom na kape kanina, kaya malamang hindi ako makakatulog nang maayos mamayang gabi.",1,,"I drank a lot of coffee a while ago, so I probably won't be able to sleep well tonight."
"Ang init, kaya binuksan ko ang bintana.",1,,"The heat, so I opened the window."
"Ang kanilang mga ninuno ay mga magsasaka. Ang mga mas mayayaman ay umiwas sa araw, kaya ang mga balat ay mas maputi. At nagpapatuloy ang ugali ngayon.",1,,"Their ancestors were farmers. The wealthy ones avoid the sun, so the skin is more white. And the attitude goes on now."
Ang mahusay na elaborasyon at pagkakaiba-iba sa anyo at estruktura ng bubong ng bahay ay halos karapat-dapat sa dignidad ng isang hiwalay na seksiyon. Sapagkat higit sa lahat ay sa bubong na ang Hapones na bahay ay may utang sa magandang hitsura nito; ito ay ang bubong na nagbibigay sa mga bahay ng nobedad at baryedad na kung saan ay kaya kapansin-pansin sa kanila sa iba-ibang bahagi ng bansa. Ang mga linya ng isang mahusay na ginawa na bubong na pawid ay isang bagay na medyo kapansin-pansin sa kanilang mga sukat.,1,,Excellent elaboration and diversity in the form and structure of the roof of the house are almost worthy of the dignity of a separate section. Because it is largely on the roof that the Japanese house owes its beautiful appearance; It is the roof that gives the homes of the Noveder and Baryedad which is so noticeable to them in different parts of the country. The lines of a well-made roof roof are something that is quite noticeable in their size.
"Ang sabi niya, ""Ayaw kong gumawa ng palusot, kaya wala na akong sasabihin pa.""",1,,"He said, ""I don't want to make a fuss, so I have nothing more to say."""
Ano ang kaya mong ibigay sa akin?,2,,What can you give me?
Ano kaya ang gagawin ko kung wala ka?,1,,What would I do without you?
Ano kaya ang gagawin mo?,1,,What would you do?
Ano kaya ang ibig niyang sabihin sa mga salitang iyon?,1,,What does he mean by those words?
Ano kaya ang ibig sabihin ni Tom?,1,,What does Tom mean?
Ano kaya ang itsura ng tango ng taong walang leeg?,1,,What does a person without a neck look like?
Ano kaya ang laman ng drawer na ito?,1,,What is the content of this drawer?
Ano kaya ang mararamdaman mo kung iniwan ka ng asawa mo?,1,,How would you feel if your spouse left you?
Ano kaya ang nagtulak kay Tom na gawin iyon?,1,,What led Tom to do that?
Ano kaya ang nagtulak sa inyong gawin iyon?,1,,What led you to do that?
Ano kaya ang nagtulak sa iyong gawin iyon?,1,,What led you to do that?
Ano kaya ang nasa drawer na ito?,1,,What's in this drawer?
Ano kaya ang nasa loob ng drawer na ito?,1,,What is inside this drawer?
Ano kaya ang nasa loob ng drawer na ito?,1,,What is inside this drawer?
Ano kaya ang nasa loob ng drawer na ito?,1,,What is inside this drawer?
Ano kaya ang nasa loob ng drawer na ito?,1,,What is inside this drawer?
"Ano kaya kung ang antigong Budista-Hindung Srivijaya ay tumuloy sa modernong panahon, at naging parte ang Pilipinas?",1,,"What if the Buddhist-Buddhist Srivijaya continued in modern times, and the Philippines became a part?"
"Ano kaya kung ang antigong Budista-Hindung Srivijaya ay tumuloy sa modernong panahon, at naging parte ang Pilipinas?",1,,"What if the Buddhist-Buddhist Srivijaya continued in modern times, and the Philippines became a part?"
