Sentence,"pagod - [1: 'págod', 0: 'pagód']"
Medyo pagod ako.,0
Hindi siya pagod.,0
"Kung pagod siya, hayaan mo siyang matulog.",0
Halatang pagod na siya.,0
Sinabi nila sa akin na pagod na raw sila.,0
Siguradong pagod sila.,0
Parang pagod na 'ko.,0
Bumagsak si Tom sa pagod.,1
Masyado akong pagod para magmaneho.,0
Hindi ka ba pagod?,0
Nararamdaman niyang pagod siya.,0
Mukhang masyado nang pagod si Tom para tumulong sa amin sa sandaling ito.,0
"Sa wakas, dinala ko ang kanyang pagod na katawan sa dalampasigan.",1
Alam kong pagod si Tom.,0
Kami'y di pagod.,0
Hinimatay si Tom sa pagod.,0
"Madalas, hindi sapat ang isang tasa ng kape para alisin ang pagod.",1
Ikinakain ang pagod sa gabi.,1
Hindi na ako pagod.,0
"Kung hindi siya pagod, aalis sana siya.",0
Palaging pagod si Tom pagkatapos ng trabaho.,0
Siguradong pagod kayo.,0
Naniniwala ka ba talagang pagod na si Tom?,0
Medyo pagod ako ngayon.,0
Siguro pagod siya.,0
Mukhang pagod ka.,0
Hindi kayo pagod.,0
Naramdaman ko ang pagod pagkatapos ng laro.,1
Pagod na pagod na akong mabuhay.,0
Pagod na pagod si Tom pag-uwi niya.,0
Ayaw nilang magkaanak at gusto na ang katapusan dahil pagod na pagod na sila.,0
Mukhang pagod si Tom.,0
Siguradong pagod ka.,0
Hindi ka pagod.,0
Mukhang masyado nang pagod si Tom para tumulong sa atin sa sandaling ito.,0
Hindi ba siya pagod?,0
"Kahit na pagod na ako, patuloy akong nagtrabaho.",0
Bakit ka sobrang pagod?,0
Pagod na pagod si Tom pagdating niya sa bahay.,0
Sabi ni Tom na pagod na pagod na si Mary.,0
Sabi niya pagod daw siya kaya uuwi siya nang maaga.,0
"Kahit pagod, nagpatuloy ako sa pagtatrabaho.",0
Mukha kang pagod.,0
Parang hindi masyadong pagod si Tom.,0
Hindi mo alam kung gaanong pagod na ako sa lahat ng mga reklamong ito.,0
Pagod na pagod nga sila.,0
Mukhang pagod na pagod si Tom.,0
Sinong pagod?,0
Hindi lang si Tom ang pagod.,0
Pagod na pagod sila dahil dalawang araw na silang nagtatrabaho nang dere-deretso.,0
"Kung pagod ka, sa kama ka na.",0
"Kung minsan, paramdam kong pagod nang maglakad.",0
Siguradong pagod ka na pagkatapos ng ganoong kahabang biyahe.,0
Di siya mukhang talagang pagod.,0
Hindi ba kayo pagod?,0
Masyado na siyang pagod para magsalita.,0
Hindi pa ako pagod.,0
Ayaw nilang magsalita. Parang pagod na.,0
