Sentence,"butas - [1: 'butás', 0: 'bútas']",
Mukhang malaki ang butas.,0,25
Makipot ang butas.,0,18
May mga butas ang argumento mo.,0,31
Kitang-kitang may naninilip sa butas.,0,37
Hindi ko napansin na butas-butas pala ang pantalon ko.,1,54
Magkuhay ka ng malalim na butas.,0,32
Naghuhukay ng malalalim na butas ang mga wilik.,0,47
May butas ang karpet.,0,21
Kitang-kitang may namboboso sa butas.,0,37
Halatang may namboboso sa butas.,0,32
Butas-butas ang pantalon mo. Para kang pinagbabaril.,1,52
Naghuhukay ng malalalim na butas ang mga topo.,0,46
Mas mabuti nang may mantsa kaysa may butas.,0,43
Gusto ni Mary na magpabutas ng pusod.,0,37
Wala akong kahit isang butas sa ngipin.,0,39
Malaki-laki ang butas.,0,22
Butas-butas ang kahon.,1,22
Hindi napansin ni Tom ang mga butas na naiwan ng mga tama ng bala sa pader.,0,75
May malaking butas ang medyas mo.,0,33
Pinalalim mo ang mga butas.,0,27
May butas ang medyas na ito.,0,28
Ituro ninyo sa akin ang butas.,0,30
Naghukay tayo ng butas.,0,23
May mga butas ang sahig.,0,24
Butas-butas ang argumento mo.,1,29
Mas madali para sa isang kamelyo na lumusot sa butas ng karayom kaysa sa isang mayaman na makapasok sa Kaharian ng Diyos.,0,121
Naghukay siya ng butas gamit ang pala.,0,38
Medyo malaki ang butas.,0,23
Ipakita ninyo sa akin ang butas.,0,32
Gusto kong maghukay ka ng butas.,0,32
Naghukay ako ng butas.,0,22
Ngumuya ng butas sa pader ang daga.,0,35
Nabutas ang salbabida ng bata.,0,30
Malapad ang butas.,0,18
Butas-butas ang pader.,1,22
Halatang may naninilip sa butas.,0,32
"Mas maraming keso, mas maraming butas. Mas maraming butas, mas kaunting keso. Kaya: mas maraming keso, mas kaunting keso.",0,121
Ipakita mo sa akin ang butas.,0,29
"Mag-ingat ka, may butas sa sahig.",0,33
Ituro mo sa akin ang butas.,0,27
Nagpabutas si Mary ng pusod.,0,28
Naghuhukay sila ng butas.,0,25
Naghukay siya ng butas.,0,23
Butas-butas ang kaha.,1,21
Naghukay kami ng butas.,0,23
Naghukay ng tatlong butas si Tom.,0,33
Hindi mapupuno ang bulsang butas.,1,33
May butas ang medyas mo.,0,24
May butas ang medyas niya.,0,26
Mas madali para sa isang kamelyo na makapasok sa butas ng karayom kaysa sa isang mayaman na makapasok sa Kaharian ng Diyos.,0,123
May mga butas sa sahig.,0,23
Naghukay siya ng butas sa buhangin.,0,35
May butas ang medyas ninyo.,0,27
Nabuo ang butas na ito sa pagbagsak ng isang bulalakaw.,0,55
Hindi mapupuno ang bulsang may butas.,0,37
Gaano kalalim ang butas?,0,24
Gumawa ako ng butas sa pader.,0,29
"Mag-ingat ka, butas ang sahig.",1,30
May mga butas ang bubong.,0,25
"Ang ginto ng Brasil ay nag-iwan ng mga butas sa Brasil, mga templo sa Portugal at mga pabrika sa Inglatera.",0,107
