Sentence,"takot - [0: 'tákot', 1: 'takót']"
Sinasabi ng kapatid kong lalaki na hindi raw siya takot sa dilim.,1
"Para sa kanya, ang baha ay nagdudulot ng mas kaunting takot kaysa lindol.",0
Ang takot ay ang kawalan ng pagtitiwala.,0
Hindi sila takot.,1
Hindi sa amin takot si Tom.,1
Hindi na ako takot.,1
Nanigas siya sa takot na mahulog.,0
Nananaig ang takot.,0
Namutla ka sa takot.,0
Hindi sa atin takot si Tom.,1
Ang galit ay hindi lang basta-bastang sumusulpot mula sa wala; kadalasan itong nagmumula sa inggit o sa takot.,0
Parang takot ka sa mga babae.,1
Hindi siya takot sa kahit ano.,1
Sobrang takot si Tom.,1
Babae kayong takot sa pusa.,1
Naging takot sila sa Budismo.,1
Sino ang nagsasabing takot ako sa kanya?,1
Ang sabi ng kuya ko hindi raw siya takot sa dilim.,1
"Ang iyong relihiyon ay gumagamit ng takot bilang isang motibador. Sa tingin ko, hindi ito maganda. Wala kang kapayapaan ng isip.",0
"Hindi ka takot sa lula, hindi ba?",1
Alam mong hindi natin mapipigilan ang pag-uusap tungkol sa mga bagay na pang-agham dahil lang sa takot ang ilang babaeng hindi nakapag-aral.,1
Bakit takot ang mga tao sa iyo?,1
Nanginig sa takot ang babae.,0
May isa o dalawang pagkakataong nakaramdam ako ng matinding takot nang hindi ko tiyak mawari kung bakit.,0
Isip ko'y ang mga taong parating takot ay inutil.,1
Di ako takot sa iyo.,1
Ang batang napaso ay takot sa apoy.,1
Nagkaroon ka ba ng takot?,0
Talagang takot siya sa mga ahas.,1
Siya ay takot na mawalan ng salapi.,1
Parati kang takot dahil parang babae ka.,1
Takot na takot siya sa dilim.,1
"Hindi takot si Tom, pero si Mary, oo.",1
Nanginig sa takot ang batang babae.,0
Sinasabi ng kapatid na hindi raw siya takot sa dilim.,1
Kailangan nating magkaroon ng lakas ng loob para malampasan ang mga takot natin.,0
Nanginginig siya sa takot.,0
Bakit ka takot?,1
Takot na takot ako.,1
Nanginig sa takot ang bata.,0
"Dahil takot siya sa teknolohiya, para siya talagang babae.",0
Hindi siya takot sa mga ahas.,0
Sa tingin ko takot siya sa gagambang ito.,1
Kasing takot ni Tom si Mary.,1
Tumakbo siyang parang takot na koneho.,1
Takot na takot siya sa mga gamugamo at paruparo.,1
May isa o dalawang beses na nakaramdam ako ng matinding takot nang hindi ko tiyak mawari kung bakit.,0
"Bakit takot sa 'yo si Tom? ""Di ko alam.""",1
Takot na takot si Tom.,1
Walang makasisisi sa iyo sa pagiging takot.,1
"Dahil parang buhangin lamang ang mga bituwin, takot ang babae sa astronomiya.",1
"Simula ng paglaganap ng COVID-19, dumami na ang takot sa kagaw.",1
Ikaw lang ang batang kilala kong takot sa bibe.,1
Ang kanyang mukha ay nagpapakita ng takot at pagkabalisa.,0
"Hindi, hindi ako takot sa mga multo.",1
May takot ako kay Tom.,1
Alam kong takot ang mga matatanda sa lengguwaheng Lojban at sa kulay-ube.,1
Di takot mamatay ang sundalo.,1
Takot na takot ang aso ko sa karayom.,1
Ang sabi ng kapatid ko hindi raw siya takot sa dilim.,1
Ang batang nasunog ay takot sa apoy.,1
"Duwag si Tom, takot siya sa sarili niyang anino.",1
